Order ID,Order Date,Ship Date,Customer Name,Segment,Region,State,City,Category,Sub-Category,Product,Quantity,Discount,Sales,Profit
ORD-00057,2024-08-12,2024-08-15,Customer 087,Consumer,West,Washington,Seattle,Furniture,Chairs,Desk,3,0.1,613.99,2.02
ORD-00058,2023-02-24,2023-02-28,Customer 096,Consumer,South,Tennessee,Nashville,Furniture,Chairs,Bookshelf,8,0.05,4580.62,574.07
ORD-00059,2025-03-24,2025-03-27,Customer 047,Consumer,South,Virginia,Richmond,Office Supplies,Labels,Envelope Pack,2,0.0,66.8,12.9
ORD-00060,2024-12-09,2024-12-13,Customer 024,Home Office,West,Washington,Seattle,Furniture,Bookcases,Conference Table,5,0.3,1730.35,-441.2
ORD-00061,2024-08-15,2024-08-17,Customer 215,Consumer,Central,Minnesota,Minneapolis,Office Supplies,Binders,Binder,9,0.15,386.24,-27.26
ORD-00062,2025-03-15,2025-03-18,Customer 134,Consumer,South,Tennessee,Nashville,Office Supplies,Binders,Envelope Pack,5,0.0,164.34,28.35
ORD-00063,2024-12-31,2025-01-02,Customer 149,Home Office,Central,Texas,Houston,Furniture,Tables,Cabinet,5,0.2,1525.32,-102.88
ORD-00064,2023-01-11,2023-01-15,Customer 235,Corporate,Central,Minnesota,Minneapolis,Office Supplies,Envelopes,Envelope Pack,1,0.15,41.99,-0.87
ORD-00065,2024-04-26,2024-04-27,Customer 044,Consumer,Central,Missouri,St. Louis,Furniture,Furnishings,Office Chair,8,0.2,1888.99,-193.0
ORD-00066,2025-03-27,2025-04-01,Customer 210,Corporate,Central,Texas,Houston,Furniture,Bookcases,Conference Table,8,0.2,3887.56,-500.24
ORD-00067,2024-05-03,2024-05-08,Customer 116,Corporate,Central,Illinois,Chicago,Furniture,Chairs,Desk,10,0.0,1109.57,151.37
ORD-00068,2025-07-23,2025-07-26,Customer 004,Corporate,West,Washington,Seattle,Office Supplies,Envelopes,Printer Paper,2,0.1,159.71,10.14
ORD-00069,2025-09-08,2025-09-09,Customer 016,Consumer,Central,Texas,Houston,Office Supplies,Paper,Storage Box,7,0.05,47.43,4.83
ORD-00070,2024-01-12,2024-01-14,Customer 073,Consumer,East,Massachusetts,Boston,Office Supplies,Envelopes,Notebook,8,0.0,297.2,46.4
ORD-00071,2024-02-03,2024-02-04,Customer 093,Corporate,West,Arizona,Phoenix,Technology,Accessories,Keyboard,6,0.2,6385.57,-305.22
ORD-00072,2025-06-03,2025-06-06,Customer 122,Consumer,West,Washington,Seattle,Technology,Phones,Smartphone,10,0.15,8879.62,-167.82
ORD-00073,2024-02-23,2024-02-25,Customer 195,Consumer,West,California,Los Angeles,Technology,Copiers,Monitor,8,0.05,6544.68,960.66
ORD-00074,2025-07-09,2025-07-11,Customer 060,Corporate,South,Florida,Miami,Furniture,Chairs,Cabinet,2,0.1,622.3,0.17
ORD-00075,2025-08-30,2025-09-03,Customer 059,Corporate,East,New York,New York,Technology,Phones,Mouse,10,0.1,6484.4,545.04
ORD-00076,2025-03-26,2025-03-27,Customer 160,Corporate,West,Colorado,Denver,Office Supplies,Paper,Storage Box,6,0.15,1022.12,79.86
ORD-00077,2023-12-29,2024-01-03,Customer 199,Corporate,Central,Illinois,Chicago,Office Supplies,Envelopes,Pen Set,7,0.0,462.46,74.1
ORD-00078,2024-08-08,2024-08-09,Customer 118,Consumer,South,Virginia,Richmond,Office Supplies,Envelopes,Pen Set,4,0.1,569.69,19.16
ORD-00079,2024-12-05,2024-12-07,Customer 004,Corporate,East,Pennsylvania,Philadelphia,Office Supplies,Labels,Storage Box,3,0.05,67.16,6.95
ORD-00080,2024-02-01,2024-02-02,Customer 208,Corporate,East,New Jersey,Newark,Office Supplies,Art,Binder,4,0.05,566.47,40.42
ORD-00081,2025-05-18,2025-05-21,Customer 174,Consumer,South,North Carolina,Charlotte,Technology,Machines,Monitor,6,0.05,1733.57,255.5
ORD-00082,2025-09-11,2025-09-12,Customer 126,Corporate,East,Ohio,Columbus,Office Supplies,Art,Printer Paper,5,0.0,195.71,33.13
ORD-00083,2024-06-04,2024-06-05,Customer 102,Home Office,East,New Jersey,Newark,Technology,Copiers,Monitor,1,0.1,88.63,11.45
ORD-00084,2025-02-17,2025-02-20,Customer 158,Corporate,East,New York,New York,Technology,Accessories,Mouse,4,0.1,1143.88,90.21
ORD-00085,2024-08-11,2024-08-15,Customer 041,Corporate,West,Washington,Seattle,Office Supplies,Paper,Envelope Pack,2,0.15,278.82,11.0
ORD-00086,2024-12-16,2024-12-18,Customer 210,Home Office,Central,Michigan,Detroit,Furniture,Bookcases,Bookshelf,4,0.05,1609.97,173.46
ORD-00087,2025-10-10,2025-10-14,Customer 056,Consumer,East,New Jersey,Newark,Furniture,Bookcases,Desk,4,0.05,1773.3,91.31
ORD-00088,2025-05-22,2025-05-25,Customer 220,Consumer,Central,Illinois,Chicago,Furniture,Chairs,Cabinet,1,0.2,155.93,-12.17
ORD-00089,2024-06-15,2024-06-19,Customer 143,Consumer,East,New York,New York,Furniture,Chairs,Conference Table,2,0.05,1105.6,111.87
ORD-00090,2025-05-16,2025-05-18,Customer 084,Consumer,Central,Illinois,Chicago,Technology,Accessories,Smartphone,5,0.1,650.99,80.69
ORD-00091,2023-05-10,2023-05-11,Customer 010,Consumer,West,California,Los Angeles,Furniture,Bookcases,Cabinet,1,0.05,134.05,11.31
ORD-00092,2025-04-23,2025-04-24,Customer 044,Consumer,West,Arizona,Phoenix,Furniture,Furnishings,Office Chair,6,0.1,529.93,-21.82
ORD-00093,2023-06-05,2023-06-09,Customer 020,Corporate,West,Arizona,Phoenix,Technology,Accessories,Laptop,4,0.0,411.24,99.89
ORD-00094,2024-11-23,2024-11-25,Customer 045,Home Office,South,North Carolina,Charlotte,Technology,Phones,Smartphone,7,0.0,3434.7,753.22
ORD-00095,2023-11-04,2023-11-06,Customer 047,Consumer,East,Pennsylvania,Philadelphia,Technology,Machines,Keyboard,5,0.05,5390.68,976.24
ORD-00096,2025-01-13,2025-01-14,Customer 161,Consumer,East,New York,New York,Office Supplies,Binders,Notebook,5,0.1,281.89,18.27
ORD-00097,2024-11-18,2024-11-23,Customer 054,Corporate,Central,Missouri,St. Louis,Technology,Machines,Printer,6,0.15,2362.96,107.54
ORD-00098,2024-03-30,2024-03-31,Customer 206,Consumer,West,California,Los Angeles,Furniture,Bookcases,Cabinet,9,0.1,2603.41,107.65
ORD-00099,2025-04-21,2025-04-23,Customer 046,Consumer,West,Oregon,Portland,Furniture,Furnishings,Desk,5,0.05,629.58,59.1
ORD-00100,2024-05-12,2024-05-16,Customer 196,Home Office,South,Tennessee,Nashville,Office Supplies,Storage,Pen Set,9,0.0,373.27,43.06
ORD-00101,2025-10-04,2025-10-09,Customer 141,Corporate,West,Oregon,Portland,Office Supplies,Art,Printer Paper,10,0.0,525.19,76.56
ORD-00102,2023-06-08,2023-06-09,Customer 214,Consumer,Central,Illinois,Chicago,Office Supplies,Art,Storage Box,6,0.1,859.72,48.52
ORD-00103,2025-11-15,2025-11-16,Customer 069,Consumer,Central,Illinois,Chicago,Furniture,Tables,Office Chair,5,0.2,2670.07,-356.33
ORD-00104,2024-11-17,2024-11-18,Customer 153,Consumer,Central,Illinois,Chicago,Furniture,Chairs,Office Chair,5,0.1,1810.69,-35.85
ORD-00105,2025-02-08,2025-02-11,Customer 229,Corporate,Central,Illinois,Chicago,Furniture,Tables,Cabinet,1,0.05,274.73,9.5
ORD-00106,2023-12-19,2023-12-23,Customer 044,Consumer,East,New York,New York,Technology,Phones,Printer,2,0.1,1114.18,115.98
ORD-00107,2024-01-16,2024-01-18,Customer 106,Corporate,West,Washington,Seattle,Office Supplies,Paper,Envelope Pack,2,0.2,171.34,-12.99
ORD-00108,2024-03-21,2024-03-22,Customer 149,Consumer,South,Virginia,Richmond,Furniture,Furnishings,Conference Table,7,0.1,1273.54,5.26
ORD-00109,2024-02-10,2024-02-12,Customer 151,Consumer,Central,Texas,Houston,Office Supplies,Art,Envelope Pack,4,0.15,222.09,-3.19
ORD-00110,2023-11-07,2023-11-10,Customer 007,Home Office,Central,Michigan,Detroit,Office Supplies,Paper,Storage Box,10,0.1,1259.94,63.1
ORD-00111,2025-08-05,2025-08-06,Customer 227,Consumer,West,Oregon,Portland,Technology,Accessories,Monitor,4,0.05,2176.87,284.89
ORD-00112,2025-06-20,2025-06-21,Customer 221,Consumer,Central,Illinois,Chicago,Technology,Accessories,Printer,4,0.2,609.74,-24.0
ORD-00113,2024-03-22,2024-03-27,Customer 073,Corporate,East,Pennsylvania,Philadelphia,Office Supplies,Storage,Printer Paper,2,0.1,279.02,4.76
ORD-00114,2023-07-09,2023-07-12,Customer 227,Consumer,East,Massachusetts,Boston,Office Supplies,Art,Notebook,4,0.1,684.46,42.02
ORD-00115,2024-06-02,2024-06-05,Customer 227,Consumer,West,Colorado,Denver,Furniture,Chairs,Desk,5,0.1,872.95,30.16
ORD-00116,2024-05-11,2024-05-15,Customer 021,Consumer,Central,Missouri,St. Louis,Office Supplies,Labels,Binder,2,0.05,168.6,22.49
ORD-00117,2024-07-07,2024-07-12,Customer 079,Home Office,East,New York,New York,Office Supplies,Binders,Notebook,1,0.1,159.96,9.72
ORD-00118,2025-08-13,2025-08-18,Customer 058,Consumer,East,Massachusetts,Boston,Furniture,Chairs,Cabinet,7,0.3,542.63,-122.03
ORD-00119,2024-01-01,2024-01-05,Customer 104,Consumer,West,Oregon,Portland,Office Supplies,Art,Printer Paper,5,0.0,95.34,16.62
ORD-00120,2025-07-09,2025-07-10,Customer 232,Consumer,West,Washington,Seattle,Technology,Copiers,Mouse,9,0.15,6753.8,475.45
ORD-00121,2025-02-08,2025-02-13,Customer 179,Home Office,Central,Michigan,Detroit,Technology,Accessories,Laptop,7,0.0,1043.83,214.26
ORD-00122,2024-11-16,2024-11-17,Customer 224,Consumer,Central,Minnesota,Minneapolis,Office Supplies,Envelopes,Notebook,2,0.1,396.32,39.7
ORD-00123,2023-07-22,2023-07-25,Customer 191,Consumer,East,Massachusetts,Boston,Technology,Accessories,Smartphone,4,0.1,3513.79,344.57
ORD-00124,2023-01-19,2023-01-24,Customer 235,Corporate,East,Massachusetts,Boston,Office Supplies,Labels,Binder,8,0.05,1142.4,196.54
ORD-00125,2024-04-17,2024-04-19,Customer 243,Corporate,Central,Minnesota,Minneapolis,Technology,Phones,Keyboard,4,0.0,378.58,61.99
ORD-00126,2025-10-11,2025-10-14,Customer 004,Corporate,South,Virginia,Richmond,Furniture,Furnishings,Conference Table,6,0.0,1916.78,177.0
ORD-00127,2023-07-07,2023-07-08,Customer 147,Corporate,West,California,Los Angeles,Furniture,Furnishings,Cabinet,8,0.1,1198.82,0.46
ORD-00128,2023-07-30,2023-08-04,Customer 047,Consumer,Central,Illinois,Chicago,Office Supplies,Art,Printer Paper,4,0.0,181.78,31.2
ORD-00129,2025-08-28,2025-08-29,Customer 118,Consumer,South,Tennessee,Nashville,Technology,Accessories,Printer,6,0.0,6562.36,1430.26
ORD-00130,2024-12-10,2024-12-11,Customer 090,Consumer,South,North Carolina,Charlotte,Office Supplies,Paper,Printer Paper,3,0.15,263.33,8.63
ORD-00131,2024-09-29,2024-10-01,Customer 220,Consumer,South,Florida,Miami,Technology,Phones,Mouse,9,0.0,4914.88,875.1
ORD-00132,2023-09-27,2023-09-29,Customer 007,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,Storage Box,4,0.05,537.37,53.7
ORD-00133,2025-12-29,2025-12-31,Customer 089,Home Office,Central,Minnesota,Minneapolis,Office Supplies,Labels,Binder,8,0.1,1242.1,65.59
ORD-00134,2025-05-02,2025-05-06,Customer 169,Consumer,West,California,Los Angeles,Technology,Phones,Printer,9,0.15,5649.71,449.01
ORD-00135,2024-02-27,2024-02-28,Customer 138,Home Office,West,Washington,Seattle,Furniture,Chairs,Cabinet,9,0.1,3220.86,259.51
ORD-00136,2024-09-02,2024-09-05,Customer 168,Corporate,Central,Missouri,St. Louis,Technology,Machines,Printer,6,0.05,472.14,62.93
ORD-00137,2023-02-27,2023-03-03,Customer 012,Home Office,Central,Illinois,Chicago,Technology,Accessories,Monitor,1,0.05,390.73,49.93
ORD-00138,2023-01-08,2023-01-12,Customer 027,Consumer,Central,Michigan,Detroit,Technology,Copiers,Laptop,8,0.1,3375.76,330.87
ORD-00139,2023-02-09,2023-02-10,Customer 158,Consumer,Central,Missouri,St. Louis,Office Supplies,Storage,Pen Set,6,0.05,189.71,14.03
ORD-00140,2023-09-26,2023-09-28,Customer 221,Corporate,East,Pennsylvania,Philadelphia,Furniture,Bookcases,Bookshelf,3,0.2,1147.64,-54.24
ORD-00141,2023-09-22,2023-09-26,Customer 041,Home Office,South,North Carolina,Charlotte,Office Supplies,Binders,Printer Paper,9,0.0,1242.55,193.67
ORD-00142,2023-11-03,2023-11-05,Customer 198,Home Office,Central,Texas,Houston,Furniture,Furnishings,Office Chair,3,0.0,1350.8,148.23
ORD-00143,2023-07-20,2023-07-24,Customer 210,Consumer,East,Ohio,Columbus,Office Supplies,Binders,Envelope Pack,5,0.15,733.59,0.32
ORD-00144,2024-10-07,2024-10-10,Customer 168,Consumer,East,Ohio,Columbus,Technology,Copiers,Mouse,4,0.05,1809.29,347.59
ORD-00145,2025-05-05,2025-05-07,Customer 120,Corporate,South,Florida,Miami,Technology,Machines,Monitor,9,0.1,7119.86,521.89
ORD-00146,2025-07-22,2025-07-27,Customer 220,Consumer,West,California,Los Angeles,Technology,Copiers,Laptop,9,0.1,7588.49,1348.99
ORD-00147,2024-05-28,2024-05-29,Customer 201,Corporate,West,California,Los Angeles,Office Supplies,Labels,Envelope Pack,3,0.0,345.25,73.55
ORD-00148,2025-11-24,2025-11-25,Customer 179,Home Office,East,New York,New York,Technology,Machines,Printer,9,0.05,3960.08,535.74
ORD-00149,2023-05-12,2023-05-16,Customer 027,Home Office,East,Massachusetts,Boston,Furniture,Tables,Conference Table,2,0.3,1221.35,-107.43
ORD-00150,2023-12-28,2023-12-29,Customer 124,Consumer,West,Colorado,Denver,Furniture,Furnishings,Bookshelf,4,0.05,1099.92,79.17
ORD-00151,2025-05-14,2025-05-16,Customer 011,Consumer,West,Colorado,Denver,Furniture,Tables,Desk,9,0.05,808.91,54.02
ORD-00152,2025-06-25,2025-06-30,Customer 197,Consumer,South,Tennessee,Nashville,Furniture,Furnishings,Bookshelf,8,0.2,1525.94,-193.28
ORD-00153,2024-06-03,2024-06-04,Customer 243,Corporate,Central,Missouri,St. Louis,Office Supplies,Binders,Storage Box,2,0.1,194.22,10.95
ORD-00154,2024-10-16,2024-10-17,Customer 117,Corporate,South,Tennessee,Nashville,Office Supplies,Paper,Printer Paper,10,0.0,230.83,44.19
ORD-00155,2024-01-22,2024-01-24,Customer 099,Consumer,East,Massachusetts,Boston,Technology,Phones,Keyboard,5,0.1,1007.94,55.09
ORD-00156,2024-01-10,2024-01-11,Customer 057,Consumer,West,Washington,Seattle,Furniture,Furnishings,Desk,3,0.1,1639.2,112.12
ORD-00157,2024-11-09,2024-11-11,Customer 064,Consumer,East,New Jersey,Newark,Office Supplies,Labels,Notebook,4,0.05,220.5,18.89
ORD-00158,2023-11-21,2023-11-23,Customer 246,Consumer,South,Virginia,Richmond,Furniture,Bookcases,Conference Table,2,0.1,187.87,9.86
ORD-00159,2023-12-29,2024-01-01,Customer 059,Consumer,East,Pennsylvania,Philadelphia,Technology,Phones,Keyboard,5,0.05,3775.75,410.15
ORD-00160,2024-03-06,2024-03-10,Customer 085,Corporate,East,Massachusetts,Boston,Office Supplies,Binders,Notebook,6,0.1,483.49,43.5
ORD-00161,2025-07-30,2025-08-03,Customer 152,Corporate,East,Ohio,Columbus,Furniture,Bookcases,Office Chair,8,0.2,1016.24,-151.47
ORD-00162,2025-01-31,2025-02-03,Customer 149,Corporate,East,New Jersey,Newark,Technology,Phones,Laptop,6,0.1,1778.3,69.49
ORD-00163,2024-01-30,2024-02-03,Customer 216,Home Office,East,Massachusetts,Boston,Furniture,Tables,Conference Table,3,0.1,2264.69,2.45
ORD-00164,2024-02-11,2024-02-14,Customer 072,Home Office,West,California,Los Angeles,Furniture,Chairs,Bookshelf,2,0.1,957.81,-34.55
ORD-00165,2023-04-26,2023-05-01,Customer 054,Consumer,West,California,Los Angeles,Technology,Copiers,Monitor,3,0.0,1629.15,371.61
ORD-00166,2025-06-24,2025-06-26,Customer 030,Consumer,Central,Missouri,St. Louis,Furniture,Tables,Office Chair,8,0.3,3592.47,-305.98
ORD-00167,2024-10-08,2024-10-11,Customer 004,Corporate,Central,Texas,Houston,Office Supplies,Labels,Pen Set,5,0.0,880.68,128.58
ORD-00168,2024-02-18,2024-02-21,Customer 188,Corporate,West,Oregon,Portland,Office Supplies,Labels,Pen Set,3,0.1,63.68,4.77
ORD-00169,2023-11-18,2023-11-20,Customer 057,Consumer,Central,Michigan,Detroit,Office Supplies,Storage,Envelope Pack,7,0.1,543.38,-5.35
ORD-00170,2024-12-26,2024-12-27,Customer 205,Corporate,Central,Illinois,Chicago,Furniture,Furnishings,Conference Table,2,0.1,1108.74,48.41
ORD-00171,2025-12-18,2025-12-20,Customer 139,Consumer,West,Washington,Seattle,Technology,Accessories,Monitor,1,0.05,263.29,31.28
ORD-00172,2024-09-24,2024-09-25,Customer 218,Corporate,East,New York,New York,Office Supplies,Art,Storage Box,3,0.0,269.44,53.39
ORD-00173,2025-07-17,2025-07-21,Customer 042,Home Office,Central,Illinois,Chicago,Technology,Phones,Keyboard,5,0.05,4802.41,848.62
ORD-00174,2025-07-01,2025-07-06,Customer 016,Corporate,West,Arizona,Phoenix,Office Supplies,Storage,Binder,3,0.15,402.53,2.34
ORD-00175,2024-10-10,2024-10-11,Customer 021,Consumer,South,Florida,Miami,Office Supplies,Labels,Pen Set,8,0.0,1334.11,309.09
ORD-00176,2023-08-23,2023-08-26,Customer 163,Consumer,Central,Texas,Houston,Technology,Accessories,Keyboard,5,0.1,3765.76,146.01
ORD-00177,2024-01-22,2024-01-23,Customer 162,Home Office,South,Virginia,Richmond,Technology,Machines,Laptop,10,0.1,7223.17,567.02
ORD-00178,2024-10-26,2024-10-27,Customer 045,Corporate,Central,Michigan,Detroit,Office Supplies,Art,Printer Paper,7,0.1,832.36,78.59
ORD-00179,2025-12-18,2025-12-22,Customer 022,Consumer,South,Tennessee,Nashville,Technology,Accessories,Smartphone,7,0.1,3839.39,404.8
ORD-00180,2023-08-21,2023-08-22,Customer 049,Home Office,East,Massachusetts,Boston,Office Supplies,Binders,Binder,3,0.1,332.46,43.67
ORD-00181,2024-07-17,2024-07-21,Customer 197,Home Office,West,California,Los Angeles,Office Supplies,Paper,Notebook,4,0.05,152.86,27.08
ORD-00182,2024-08-20,2024-08-22,Customer 068,Consumer,West,Colorado,Denver,Furniture,Bookcases,Cabinet,1,0.2,612.05,-21.47
ORD-00183,2024-07-13,2024-07-16,Customer 247,Home Office,South,Florida,Miami,Technology,Phones,Laptop,7,0.15,827.72,8.54
ORD-00184,2024-06-03,2024-06-08,Customer 156,Corporate,South,Virginia,Richmond,Technology,Phones,Monitor,4,0.0,1643.26,329.44
ORD-00185,2023-06-20,2023-06-25,Customer 089,Consumer,East,Massachusetts,Boston,Technology,Machines,Monitor,9,0.0,4433.43,885.89
