Order ID,Order Date,Ship Date,Category,Sub-Category,Product Name,Region,State,City,Quantity,Discount,Sales,Profit
ORD-0080,2025-01-14,2025-01-18,Furniture,Furnishings,Furnishings Product 13,East,New York,Seattle,3,0.1,543.09,27.68
ORD-0242,2025-01-14,2025-01-18,Technology,Accessories,Accessories Product 8,Central,Michigan,Houston,2,0.15,1915.21,149.62
ORD-0081,2025-01-15,2025-01-16,Furniture,Tables,Tables Product 1,East,Massachusetts,New York,4,0.05,630.77,85.78
ORD-0129,2025-01-16,2025-01-21,Technology,Laptops,Laptops Product 7,Central,Michigan,Seattle,5,0.05,6645.65,761.5
ORD-0417,2025-01-16,2025-01-18,Furniture,Chairs,Chairs Product 14,West,Oregon,Miami,5,0.1,1106.32,80.38
ORD-0310,2025-01-17,2025-01-21,Technology,Laptops,Laptops Product 6,East,Pennsylvania,Miami,4,0.15,4866.42,678.55
ORD-0173,2025-01-18,2025-01-22,Furniture,Chairs,Chairs Product 14,South,Virginia,Houston,3,0.05,1703.96,230.84
ORD-0109,2025-01-18,2025-01-22,Technology,Laptops,Laptops Product 1,South,Tennessee,New York,2,0.05,1039.22,202.24
ORD-0404,2025-01-19,2025-01-24,Office Supplies,Paper,Paper Product 2,West,Oregon,Los Angeles,2,0.0,413.81,56.97
ORD-0479,2025-01-19,2025-01-22,Furniture,Chairs,Chairs Product 3,Central,Michigan,Chicago,3,0.0,2142.99,139.9
ORD-0171,2025-01-20,2025-01-24,Technology,Printers,Printers Product 10,South,Tennessee,Miami,3,0.0,2494.62,452.76
ORD-0116,2025-01-20,2025-01-22,Furniture,Bookcases,Bookcases Product 5,Central,Ohio,Chicago,6,0.0,3550.81,387.5
ORD-0382,2025-01-20,2025-01-24,Office Supplies,Storage,Storage Product 3,West,Oregon,Miami,4,0.1,346.37,23.51
ORD-0322,2025-01-23,2025-01-27,Technology,Laptops,Laptops Product 2,Central,Texas,Atlanta,4,0.15,4489.22,586.26
ORD-0082,2025-01-25,2025-01-28,Office Supplies,Binders,Binders Product 9,East,New Jersey,Chicago,4,0.05,1019.36,153.52
ORD-0385,2025-01-25,2025-01-26,Office Supplies,Labels,Labels Product 9,East,Pennsylvania,Seattle,5,0.15,104.73,13.65
ORD-0342,2025-01-26,2025-01-31,Office Supplies,Binders,Binders Product 5,South,Virginia,Seattle,3,0.1,690.35,68.43
ORD-0282,2025-01-26,2025-01-30,Furniture,Bookcases,Bookcases Product 9,Central,Texas,New York,5,0.1,968.2,53.71
ORD-0155,2025-01-27,2025-02-01,Furniture,Bookcases,Bookcases Product 15,East,Pennsylvania,Miami,4,0.2,2533.77,318.21
ORD-0403,2025-01-28,2025-02-01,Office Supplies,Labels,Labels Product 8,East,New York,Seattle,7,0.1,631.2,49.47
ORD-0153,2025-01-29,2025-02-01,Office Supplies,Labels,Labels Product 10,West,Nevada,Atlanta,7,0.1,103.42,10.37
ORD-0415,2025-01-29,2025-02-03,Office Supplies,Paper,Paper Product 10,Central,Michigan,Chicago,7,0.15,726.61,98.27
ORD-0236,2025-01-30,2025-02-01,Office Supplies,Storage,Storage Product 8,East,Massachusetts,Atlanta,5,0.05,1250.5,195.8
ORD-0161,2025-02-01,2025-02-04,Furniture,Tables,Tables Product 6,Central,Ohio,Miami,4,0.0,2474.91,373.33
ORD-0083,2025-02-03,2025-02-05,Technology,Laptops,Laptops Product 9,Central,Michigan,Atlanta,4,0.1,3250.63,529.79
ORD-0248,2025-02-04,2025-02-08,Technology,Accessories,Accessories Product 1,West,Oregon,Seattle,5,0.2,2920.15,528.28
ORD-0169,2025-02-06,2025-02-08,Furniture,Tables,Tables Product 3,East,Massachusetts,Miami,3,0.15,2287.33,319.03
ORD-0273,2025-02-08,2025-02-11,Technology,Phones,Phones Product 1,East,Pennsylvania,Miami,7,0.05,8245.9,794.61
ORD-0011,2025-02-10,2025-02-11,Office Supplies,Paper,Paper Product 7,East,Massachusetts,Seattle,4,0.05,1046.29,195.14
ORD-0223,2025-02-11,2025-02-12,Furniture,Furnishings,Furnishings Product 9,Central,Texas,Houston,1,0.0,723.71,120.9
ORD-0256,2025-02-12,2025-02-14,Technology,Phones,Phones Product 1,East,Pennsylvania,Seattle,1,0.05,229.28,44.41
ORD-0452,2025-02-14,2025-02-19,Office Supplies,Storage,Storage Product 1,East,Pennsylvania,Houston,4,0.15,892.48,136.96
ORD-0162,2025-02-15,2025-02-19,Office Supplies,Labels,Labels Product 1,West,California,Chicago,6,0.15,261.75,29.41
ORD-0365,2025-02-16,2025-02-21,Office Supplies,Binders,Binders Product 8,West,Washington,Dallas,6,0.2,1170.92,196.57
ORD-0061,2025-02-16,2025-02-21,Technology,Printers,Printers Product 6,Central,Ohio,Chicago,7,0.0,6997.82,1430.09
ORD-0389,2025-02-16,2025-02-19,Office Supplies,Paper,Paper Product 2,West,Oregon,Atlanta,6,0.2,89.07,7.11
ORD-0489,2025-02-16,2025-02-18,Furniture,Bookcases,Bookcases Product 13,West,Oregon,Houston,1,0.15,414.34,54.91
ORD-0428,2025-02-17,2025-02-21,Furniture,Chairs,Chairs Product 5,Central,Texas,Chicago,6,0.05,3245.69,515.68
ORD-0367,2025-02-17,2025-02-18,Furniture,Tables,Tables Product 1,West,California,Chicago,5,0.2,1292.72,123.75
ORD-0410,2025-02-17,2025-02-18,Furniture,Tables,Tables Product 8,West,Nevada,Seattle,6,0.15,1277.67,35.18
ORD-0229,2025-02-18,2025-02-19,Technology,Phones,Phones Product 10,East,Massachusetts,Seattle,1,0.0,494.81,68.83
ORD-0076,2025-02-20,2025-02-25,Technology,Printers,Printers Product 6,East,New York,Seattle,4,0.05,779.66,87.98
ORD-0004,2025-02-20,2025-02-25,Office Supplies,Binders,Binders Product 3,East,Massachusetts,Miami,1,0.1,108.82,20.96
ORD-0302,2025-02-20,2025-02-22,Furniture,Bookcases,Bookcases Product 5,South,Virginia,Seattle,7,0.2,555.23,55.94
ORD-0323,2025-02-22,2025-02-27,Furniture,Tables,Tables Product 11,South,Georgia,Chicago,7,0.15,4398.51,390.59
ORD-0449,2025-02-22,2025-02-27,Furniture,Bookcases,Bookcases Product 6,East,Pennsylvania,Chicago,5,0.05,1465.31,108.06
ORD-0185,2025-02-22,2025-02-24,Technology,Accessories,Accessories Product 2,Central,Michigan,Miami,6,0.15,5357.1,798.62
ORD-0053,2025-02-22,2025-02-24,Office Supplies,Labels,Labels Product 10,West,Nevada,New York,5,0.2,958.23,134.68
ORD-0168,2025-02-24,2025-02-27,Technology,Phones,Phones Product 12,Central,Illinois,New York,5,0.2,3138.99,507.39
ORD-0462,2025-02-27,2025-03-03,Furniture,Tables,Tables Product 7,West,Oregon,Chicago,1,0.0,453.61,64.13
ORD-0393,2025-02-27,2025-03-01,Furniture,Furnishings,Furnishings Product 12,Central,Texas,Seattle,2,0.15,482.25,51.68
ORD-0180,2025-02-28,2025-03-02,Office Supplies,Storage,Storage Product 4,East,New York,Houston,6,0.15,518.59,58.87
ORD-0288,2025-02-28,2025-03-03,Technology,Phones,Phones Product 11,South,Florida,New York,5,0.1,3757.53,774.55
ORD-0484,2025-03-01,2025-03-03,Furniture,Tables,Tables Product 13,West,California,Houston,7,0.2,2486.41,291.49
ORD-0092,2025-03-01,2025-03-05,Office Supplies,Storage,Storage Product 14,West,Nevada,Dallas,1,0.2,203.3,10.08
ORD-0345,2025-03-02,2025-03-04,Furniture,Bookcases,Bookcases Product 14,East,Massachusetts,Dallas,6,0.05,4891.96,797.28
ORD-0419,2025-03-03,2025-03-08,Office Supplies,Binders,Binders Product 1,East,Pennsylvania,Los Angeles,6,0.1,1138.23,104.68
ORD-0265,2025-03-04,2025-03-06,Office Supplies,Binders,Binders Product 4,Central,Michigan,Los Angeles,6,0.2,723.62,34.11
ORD-0438,2025-03-05,2025-03-07,Technology,Accessories,Accessories Product 2,South,Florida,Los Angeles,6,0.1,7311.9,884.07
ORD-0384,2025-03-06,2025-03-09,Office Supplies,Labels,Labels Product 5,East,New York,Chicago,5,0.1,197.77,23.31
ORD-0238,2025-03-07,2025-03-09,Technology,Printers,Printers Product 10,East,Massachusetts,New York,4,0.15,2141.22,385.57
ORD-0041,2025-03-10,2025-03-13,Technology,Printers,Printers Product 5,West,Oregon,Dallas,4,0.05,3708.13,557.85
ORD-0042,2025-03-10,2025-03-15,Furniture,Chairs,Chairs Product 12,West,Washington,Chicago,6,0.15,801.76,48.0
ORD-0057,2025-03-11,2025-03-13,Office Supplies,Paper,Paper Product 10,West,Nevada,Chicago,4,0.1,775.34,94.93
ORD-0249,2025-03-11,2025-03-14,Technology,Laptops,Laptops Product 1,South,Florida,Chicago,7,0.05,6663.83,632.91
ORD-0496,2025-03-12,2025-03-15,Technology,Laptops,Laptops Product 15,Central,Michigan,Miami,5,0.2,876.99,108.64
ORD-0406,2025-03-12,2025-03-13,Office Supplies,Labels,Labels Product 7,South,Georgia,Los Angeles,3,0.05,122.96,21.47
ORD-0284,2025-03-13,2025-03-14,Furniture,Bookcases,Bookcases Product 13,Central,Texas,Los Angeles,1,0.05,569.97,31.93
ORD-0001,2025-03-13,2025-03-16,Office Supplies,Labels,Labels Product 8,West,Oregon,New York,3,0.1,495.75,38.09
ORD-0472,2025-03-14,2025-03-17,Office Supplies,Paper,Paper Product 12,East,New York,Houston,4,0.1,971.11,159.93
ORD-0150,2025-03-15,2025-03-20,Technology,Accessories,Accessories Product 13,South,Georgia,New York,4,0.15,2493.99,470.16
ORD-0311,2025-03-16,2025-03-19,Office Supplies,Storage,Storage Product 9,East,Pennsylvania,Miami,7,0.1,434.29,70.2
ORD-0120,2025-03-17,2025-03-18,Furniture,Tables,Tables Product 15,West,California,Los Angeles,5,0.1,1121.69,40.74
ORD-0391,2025-03-18,2025-03-21,Office Supplies,Storage,Storage Product 14,South,Virginia,Atlanta,6,0.0,1428.98,193.83
ORD-0476,2025-03-19,2025-03-24,Furniture,Chairs,Chairs Product 11,West,Washington,Los Angeles,6,0.2,3977.14,309.75
ORD-0093,2025-03-19,2025-03-20,Office Supplies,Paper,Paper Product 2,West,California,New York,5,0.05,768.02,90.42
ORD-0115,2025-03-23,2025-03-25,Technology,Accessories,Accessories Product 15,South,Florida,Chicago,4,0.1,4878.38,964.05
ORD-0068,2025-03-24,2025-03-27,Office Supplies,Paper,Paper Product 13,West,California,Seattle,6,0.0,490.39,70.16
ORD-0319,2025-03-24,2025-03-26,Technology,Printers,Printers Product 12,East,New York,Houston,1,0.05,812.7,107.63
ORD-0051,2025-03-25,2025-03-26,Technology,Laptops,Laptops Product 4,West,California,Miami,3,0.1,3417.44,420.37
ORD-0175,2025-03-25,2025-03-26,Office Supplies,Binders,Binders Product 12,South,Virginia,Los Angeles,3,0.0,545.87,56.17
ORD-0488,2025-03-28,2025-03-29,Furniture,Bookcases,Bookcases Product 7,West,Nevada,Chicago,3,0.0,1370.74,153.14
ORD-0111,2025-03-28,2025-03-29,Office Supplies,Binders,Binders Product 9,East,Pennsylvania,Los Angeles,7,0.2,1645.78,242.87
ORD-0368,2025-03-29,2025-03-30,Office Supplies,Paper,Paper Product 15,Central,Michigan,Los Angeles,7,0.1,353.54,28.36
ORD-0235,2025-03-29,2025-03-30,Furniture,Bookcases,Bookcases Product 8,Central,Ohio,Atlanta,5,0.2,1443.02,86.02
ORD-0186,2025-03-30,2025-04-02,Furniture,Bookcases,Bookcases Product 4,West,California,Los Angeles,5,0.0,3970.09,610.94
ORD-0188,2025-03-30,2025-04-02,Office Supplies,Paper,Paper Product 12,South,Georgia,Miami,2,0.2,168.37,19.91
ORD-0005,2025-03-30,2025-04-04,Office Supplies,Paper,Paper Product 2,West,Oregon,Seattle,1,0.05,275.53,49.78
ORD-0274,2025-04-01,2025-04-06,Furniture,Bookcases,Bookcases Product 8,Central,Ohio,New York,6,0.15,2037.97,138.66
ORD-0354,2025-04-01,2025-04-06,Furniture,Bookcases,Bookcases Product 4,Central,Texas,Atlanta,5,0.15,1300.28,126.32
ORD-0102,2025-04-02,2025-04-03,Technology,Printers,Printers Product 6,Central,Illinois,Los Angeles,3,0.2,1573.17,94.92
ORD-0405,2025-04-03,2025-04-08,Furniture,Bookcases,Bookcases Product 13,West,Washington,Los Angeles,1,0.2,413.32,9.86
ORD-0374,2025-04-05,2025-04-06,Office Supplies,Storage,Storage Product 5,East,New York,Chicago,6,0.1,539.13,51.54
ORD-0099,2025-04-05,2025-04-08,Office Supplies,Labels,Labels Product 5,South,Florida,Seattle,2,0.1,330.39,44.33
ORD-0422,2025-04-06,2025-04-07,Technology,Phones,Phones Product 8,Central,Illinois,Miami,6,0.05,2727.94,466.75
ORD-0224,2025-04-07,2025-04-11,Technology,Laptops,Laptops Product 11,South,Tennessee,Houston,4,0.2,4112.57,229.33
ORD-0142,2025-04-08,2025-04-13,Technology,Phones,Phones Product 9,South,Georgia,Houston,3,0.15,1957.21,237.17
ORD-0031,2025-04-09,2025-04-14,Furniture,Chairs,Chairs Product 15,East,New York,Miami,5,0.0,3465.65,604.3
ORD-0043,2025-04-10,2025-04-12,Furniture,Tables,Tables Product 6,South,Florida,Atlanta,7,0.05,1476.47,147.0
ORD-0332,2025-04-10,2025-04-14,Furniture,Bookcases,Bookcases Product 2,East,Pennsylvania,Miami,2,0.0,1271.61,169.04
ORD-0330,2025-04-11,2025-04-13,Office Supplies,Storage,Storage Product 14,South,Florida,Seattle,1,0.1,139.13,15.15
ORD-0187,2025-04-12,2025-04-15,Furniture,Chairs,Chairs Product 13,East,New Jersey,Chicago,5,0.0,2196.51,369.38
ORD-0290,2025-04-13,2025-04-18,Technology,Printers,Printers Product 15,West,California,Seattle,1,0.1,1294.15,237.1
ORD-0423,2025-04-14,2025-04-19,Furniture,Bookcases,Bookcases Product 6,South,Tennessee,Atlanta,3,0.0,1880.26,134.1
ORD-0237,2025-04-14,2025-04-15,Technology,Printers,Printers Product 10,West,Oregon,Los Angeles,2,0.1,741.31,153.43
ORD-0048,2025-04-15,2025-04-18,Furniture,Tables,Tables Product 13,East,New Jersey,New York,2,0.2,778.8,72.54
ORD-0194,2025-04-16,2025-04-20,Office Supplies,Labels,Labels Product 10,Central,Michigan,Dallas,1,0.2,149.6,19.49
ORD-0497,2025-04-16,2025-04-21,Office Supplies,Binders,Binders Product 4,South,Virginia,Houston,7,0.15,419.42,35.23
ORD-0296,2025-04-17,2025-04-22,Technology,Laptops,Laptops Product 6,South,Florida,Miami,7,0.0,5112.85,1027.4
ORD-0392,2025-04-17,2025-04-22,Office Supplies,Binders,Binders Product 9,East,New York,Los Angeles,4,0.0,664.47,78.17
ORD-0195,2025-04-18,2025-04-20,Technology,Laptops,Laptops Product 13,Central,Ohio,Atlanta,7,0.0,2764.59,494.24
ORD-0133,2025-04-18,2025-04-21,Furniture,Chairs,Chairs Product 7,South,Florida,Seattle,2,0.05,514.95,25.97
ORD-0126,2025-04-18,2025-04-21,Office Supplies,Storage,Storage Product 5,Central,Illinois,Houston,2,0.15,359.49,28.98
ORD-0016,2025-04-18,2025-04-22,Technology,Phones,Phones Product 9,East,Pennsylvania,Chicago,3,0.05,1145.33,253.56
ORD-0304,2025-04-19,2025-04-20,Technology,Phones,Phones Product 1,Central,Ohio,Miami,5,0.2,5842.01,969.95
ORD-0420,2025-04-20,2025-04-25,Furniture,Chairs,Chairs Product 15,South,Tennessee,Houston,6,0.05,1478.28,175.82
ORD-0166,2025-04-21,2025-04-23,Furniture,Furnishings,Furnishings Product 6,East,Pennsylvania,Miami,4,0.15,2543.73,81.69
ORD-0339,2025-04-21,2025-04-26,Technology,Printers,Printers Product 6,West,Oregon,Chicago,1,0.0,1062.03,193.34
ORD-0101,2025-04-21,2025-04-25,Technology,Printers,Printers Product 5,East,New Jersey,Los Angeles,4,0.15,3842.78,581.97
ORD-0257,2025-04-22,2025-04-26,Furniture,Chairs,Chairs Product 8,West,Washington,Miami,3,0.2,617.27,13.4
ORD-0027,2025-04-22,2025-04-24,Furniture,Furnishings,Furnishings Product 2,South,Georgia,New York,5,0.05,775.23,98.55
ORD-0085,2025-04-22,2025-04-25,Technology,Laptops,Laptops Product 3,West,Washington,Miami,6,0.0,2201.52,281.76
ORD-0292,2025-04-23,2025-04-25,Office Supplies,Storage,Storage Product 15,South,Tennessee,Chicago,7,0.0,214.15,19.54
ORD-0375,2025-04-24,2025-04-28,Office Supplies,Binders,Binders Product 1,South,Virginia,New York,2,0.15,427.59,72.41
ORD-0426,2025-04-24,2025-04-26,Office Supplies,Binders,Binders Product 3,East,Massachusetts,Miami,7,0.1,1353.15,132.95
ORD-0355,2025-04-24,2025-04-26,Technology,Accessories,Accessories Product 11,East,Pennsylvania,Los Angeles,4,0.15,4651.27,902.83
ORD-0214,2025-04-27,2025-05-01,Office Supplies,Paper,Paper Product 13,East,New York,Houston,4,0.0,181.24,26.63
ORD-0334,2025-04-28,2025-04-30,Office Supplies,Storage,Storage Product 14,West,California,Los Angeles,7,0.2,1325.99,140.73
ORD-0437,2025-04-29,2025-05-03,Technology,Laptops,Laptops Product 7,West,Oregon,Atlanta,5,0.15,4188.96,852.94
ORD-0277,2025-04-30,2025-05-01,Office Supplies,Paper,Paper Product 8,South,Virginia,Atlanta,1,0.0,214.07,33.33
ORD-0178,2025-05-01,2025-05-02,Technology,Printers,Printers Product 1,East,Pennsylvania,Chicago,4,0.2,3095.92,320.46
ORD-0165,2025-05-03,2025-05-05,Technology,Printers,Printers Product 12,Central,Texas,New York,7,0.0,1348.49,324.22
ORD-0094,2025-05-05,2025-05-06,Office Supplies,Labels,Labels Product 1,East,Pennsylvania,New York,7,0.0,681.8,125.9
ORD-0402,2025-05-06,2025-05-08,Furniture,Tables,Tables Product 15,West,Washington,Los Angeles,6,0.05,1230.71,190.02
ORD-0181,2025-05-06,2025-05-08,Technology,Laptops,Laptops Product 7,South,Virginia,New York,1,0.1,1291.45,220.67
ORD-0253,2025-05-07,2025-05-12,Furniture,Chairs,Chairs Product 10,Central,Ohio,Miami,3,0.15,699.12,77.18
ORD-0279,2025-05-07,2025-05-11,Technology,Laptops,Laptops Product 3,East,New York,Dallas,6,0.0,5972.03,1073.16
ORD-0266,2025-05-08,2025-05-09,Furniture,Tables,Tables Product 4,Central,Ohio,Atlanta,1,0.15,76.79,6.89
ORD-0040,2025-05-09,2025-05-14,Furniture,Bookcases,Bookcases Product 5,Central,Texas,Chicago,2,0.0,444.2,34.99
ORD-0110,2025-05-12,2025-05-14,Furniture,Tables,Tables Product 10,East,Massachusetts,Atlanta,7,0.1,1443.84,199.85
ORD-0396,2025-05-13,2025-05-18,Technology,Laptops,Laptops Product 15,East,New York,Dallas,2,0.1,2181.25,471.98
ORD-0358,2025-05-13,2025-05-15,Office Supplies,Storage,Storage Product 4,Central,Illinois,Dallas,2,0.15,223.79,33.96
ORD-0100,2025-05-14,2025-05-18,Office Supplies,Binders,Binders Product 10,East,Pennsylvania,Miami,6,0.1,681.73,81.59
ORD-0184,2025-05-16,2025-05-20,Furniture,Tables,Tables Product 1,East,New York,Seattle,3,0.0,2366.94,360.3
ORD-0010,2025-05-16,2025-05-19,Office Supplies,Paper,Paper Product 1,South,Florida,Chicago,1,0.1,10.44,1.77
ORD-0414,2025-05-16,2025-05-20,Furniture,Chairs,Chairs Product 1,South,Virginia,Dallas,5,0.05,2039.55,231.01
ORD-0203,2025-05-16,2025-05-21,Technology,Phones,Phones Product 1,South,Virginia,Los Angeles,7,0.15,3840.07,437.9
ORD-0104,2025-05-17,2025-05-20,Office Supplies,Paper,Paper Product 15,Central,Texas,Houston,2,0.0,139.24,26.5
ORD-0427,2025-05-18,2025-05-21,Office Supplies,Labels,Labels Product 2,West,California,Houston,5,0.1,554.72,35.89
ORD-0258,2025-05-18,2025-05-22,Office Supplies,Labels,Labels Product 10,East,Pennsylvania,New York,1,0.2,234.91,33.16
ORD-0348,2025-05-19,2025-05-21,Office Supplies,Binders,Binders Product 6,East,New York,Chicago,7,0.05,951.61,186.72
ORD-0025,2025-05-20,2025-05-21,Technology,Laptops,Laptops Product 3,West,Nevada,Miami,7,0.0,6325.87,1470.1
ORD-0378,2025-05-21,2025-05-26,Furniture,Bookcases,Bookcases Product 8,Central,Michigan,Los Angeles,7,0.1,4558.6,560.79
ORD-0058,2025-05-21,2025-05-26,Office Supplies,Storage,Storage Product 15,East,Massachusetts,Houston,4,0.15,433.53,53.11
ORD-0259,2025-05-23,2025-05-27,Office Supplies,Labels,Labels Product 14,East,Pennsylvania,Miami,6,0.15,354.02,58.55
ORD-0200,2025-05-23,2025-05-24,Technology,Phones,Phones Product 14,East,Pennsylvania,Houston,3,0.05,1313.37,155.54
ORD-0022,2025-05-24,2025-05-27,Furniture,Tables,Tables Product 4,Central,Ohio,Dallas,6,0.2,3671.75,178.06
ORD-0141,2025-05-25,2025-05-30,Furniture,Bookcases,Bookcases Product 15,East,New Jersey,Miami,6,0.2,989.73,106.79
ORD-0291,2025-05-26,2025-05-28,Office Supplies,Paper,Paper Product 5,Central,Michigan,Seattle,7,0.15,257.05,24.74
ORD-0359,2025-05-27,2025-05-30,Technology,Phones,Phones Product 4,South,Florida,Dallas,6,0.0,5709.8,599.08
ORD-0023,2025-05-27,2025-05-29,Office Supplies,Labels,Labels Product 8,Central,Illinois,New York,1,0.0,111.11,10.38
ORD-0470,2025-05-29,2025-05-31,Office Supplies,Storage,Storage Product 10,South,Virginia,Seattle,7,0.1,1562.93,209.94
ORD-0230,2025-05-29,2025-06-03,Office Supplies,Binders,Binders Product 15,Central,Illinois,Seattle,2,0.2,74.11,7.14
ORD-0333,2025-05-29,2025-06-03,Office Supplies,Labels,Labels Product 12,East,Pennsylvania,Chicago,1,0.15,176.66,19.09
ORD-0357,2025-05-29,2025-06-02,Technology,Printers,Printers Product 7,Central,Michigan,New York,3,0.2,2034.1,333.22
ORD-0002,2025-05-30,2025-06-03,Technology,Printers,Printers Product 5,South,Tennessee,New York,6,0.05,1289.09,252.4
ORD-0024,2025-05-31,2025-06-02,Technology,Accessories,Accessories Product 9,South,Florida,Los Angeles,7,0.15,5241.68,874.67
ORD-0026,2025-06-01,2025-06-02,Office Supplies,Labels,Labels Product 8,South,Virginia,Chicago,4,0.1,458.31,82.17
ORD-0338,2025-06-02,2025-06-06,Furniture,Bookcases,Bookcases Product 11,South,Tennessee,Houston,4,0.0,2855.91,348.86
ORD-0210,2025-06-03,2025-06-07,Office Supplies,Storage,Storage Product 5,South,Georgia,Atlanta,3,0.1,497.27,63.25
ORD-0198,2025-06-03,2025-06-07,Furniture,Furnishings,Furnishings Product 7,South,Tennessee,Los Angeles,3,0.15,738.55,43.39
ORD-0458,2025-06-04,2025-06-07,Furniture,Chairs,Chairs Product 7,West,Nevada,Dallas,2,0.1,400.08,32.23
ORD-0430,2025-06-04,2025-06-09,Office Supplies,Labels,Labels Product 12,Central,Texas,Seattle,7,0.1,1300.85,139.5
ORD-0436,2025-06-04,2025-06-07,Technology,Accessories,Accessories Product 3,Central,Michigan,Dallas,7,0.0,8018.68,1146.49
ORD-0217,2025-06-05,2025-06-09,Office Supplies,Paper,Paper Product 4,Central,Texas,Los Angeles,4,0.0,391.8,36.89
ORD-0347,2025-06-05,2025-06-09,Office Supplies,Paper,Paper Product 8,East,Massachusetts,Atlanta,4,0.1,724.11,50.87
ORD-0351,2025-06-05,2025-06-07,Technology,Phones,Phones Product 7,East,Pennsylvania,Houston,2,0.15,779.81,122.94
ORD-0408,2025-06-05,2025-06-06,Furniture,Furnishings,Furnishings Product 3,South,Florida,Miami,5,0.0,3258.83,489.86
ORD-0454,2025-06-05,2025-06-06,Office Supplies,Storage,Storage Product 14,West,Oregon,Houston,2,0.05,438.08,39.05
ORD-0340,2025-06-06,2025-06-10,Office Supplies,Labels,Labels Product 10,South,Virginia,Houston,7,0.15,485.01,53.48
ORD-0299,2025-06-06,2025-06-09,Technology,Phones,Phones Product 14,Central,Michigan,New York,3,0.1,2290.34,301.95
ORD-0096,2025-06-06,2025-06-11,Furniture,Furnishings,Furnishings Product 6,South,Virginia,Atlanta,3,0.15,1239.93,138.22
ORD-0136,2025-06-07,2025-06-08,Furniture,Chairs,Chairs Product 5,Central,Texas,Miami,5,0.0,3896.57,568.38
ORD-0131,2025-06-08,2025-06-11,Office Supplies,Binders,Binders Product 5,Central,Texas,Miami,5,0.05,549.87,80.28
ORD-0243,2025-06-08,2025-06-13,Furniture,Furnishings,Furnishings Product 12,East,New Jersey,Seattle,7,0.1,622.47,45.85
ORD-0060,2025-06-09,2025-06-12,Technology,Laptops,Laptops Product 12,East,Pennsylvania,Houston,6,0.2,4322.91,425.39
ORD-0045,2025-06-09,2025-06-13,Office Supplies,Binders,Binders Product 1,West,Nevada,Dallas,2,0.1,508.8,68.98
ORD-0148,2025-06-09,2025-06-13,Technology,Accessories,Accessories Product 2,Central,Ohio,Seattle,7,0.05,4006.03,797.31
ORD-0204,2025-06-09,2025-06-13,Furniture,Furnishings,Furnishings Product 13,West,Nevada,New York,2,0.1,941.06,132.32
