Order_ID,Order_Date,Category,Sub_Category,Region,Segment,City,Quantity,Discount,Sales,Profit
ORD-10415,2024-06-01,Office Supplies,Art,West,Corporate,Houston,4,0.15,294.27,20.73
ORD-10267,2024-06-02,Office Supplies,Storage,South,Home Office,Atlanta,8,0.0,526.12,65.66
ORD-10071,2024-06-04,Office Supplies,Paper,West,Home Office,Los Angeles,2,0.1,91.74,22.92
ORD-10179,2024-06-06,Office Supplies,Binders,South,Consumer,New York,7,0.2,568.45,33.71
ORD-10342,2024-06-07,Furniture,Tables,West,Corporate,Houston,4,0.05,839.89,177.94
ORD-10448,2024-06-08,Office Supplies,Art,East,Corporate,Chicago,3,0.2,205.37,25.14
ORD-10065,2024-06-09,Technology,Phones,South,Home Office,Atlanta,3,0.15,1057.49,133.36
ORD-10358,2024-06-09,Furniture,Tables,East,Corporate,Chicago,6,0.1,1416.81,58.1
ORD-10116,2024-06-10,Office Supplies,Art,Central,Corporate,Dallas,5,0.2,175.8,25.57
ORD-10145,2024-06-13,Technology,Phones,East,Consumer,Atlanta,5,0.0,682.99,118.07
ORD-10223,2024-06-16,Technology,Computers,West,Corporate,Atlanta,2,0.0,215.99,42.07
ORD-10499,2024-06-16,Office Supplies,Paper,South,Consumer,Seattle,1,0.1,86.67,12.83
ORD-10463,2024-06-18,Office Supplies,Paper,West,Home Office,Dallas,6,0.05,488.25,96.5
ORD-10365,2024-06-18,Office Supplies,Binders,West,Consumer,Chicago,3,0.2,201.22,-4.44
ORD-10348,2024-06-19,Technology,Phones,East,Home Office,Boston,6,0.15,1016.6,104.2
ORD-10285,2024-06-20,Furniture,Chairs,West,Corporate,Dallas,6,0.15,960.78,69.6
ORD-10104,2024-06-23,Furniture,Bookcases,South,Consumer,Houston,6,0.15,1027.26,38.76
ORD-10475,2024-06-24,Furniture,Chairs,Central,Corporate,Houston,3,0.05,855.21,205.08
ORD-10066,2024-06-25,Furniture,Tables,West,Consumer,Dallas,9,0.2,1300.5,94.18
ORD-10121,2024-06-26,Office Supplies,Paper,West,Corporate,Seattle,1,0.05,121.37,25.85
ORD-10058,2024-06-27,Technology,Phones,South,Consumer,Chicago,5,0.05,1095.96,274.07
ORD-10062,2024-06-28,Technology,Accessories,Central,Corporate,Dallas,8,0.15,1916.06,359.67
ORD-10146,2024-06-30,Technology,Computers,West,Consumer,Los Angeles,8,0.05,2237.21,772.24
ORD-10033,2024-06-30,Technology,Accessories,Central,Consumer,Seattle,9,0.3,1065.37,190.34
ORD-10059,2024-06-30,Technology,Computers,West,Corporate,New York,3,0.05,776.35,116.49
ORD-10349,2024-07-01,Furniture,Bookcases,East,Consumer,Houston,2,0.2,432.69,1.61
ORD-10247,2024-07-05,Furniture,Tables,East,Consumer,Dallas,7,0.15,783.48,127.92
ORD-10404,2024-07-05,Office Supplies,Paper,West,Corporate,Dallas,8,0.2,475.43,56.29
ORD-10345,2024-07-06,Furniture,Bookcases,Central,Consumer,Los Angeles,4,0.1,976.0,86.08
ORD-10105,2024-07-12,Office Supplies,Storage,East,Consumer,Atlanta,3,0.05,281.58,85.71
ORD-10461,2024-07-13,Technology,Computers,East,Corporate,Dallas,8,0.1,1524.31,182.96
ORD-10308,2024-07-18,Furniture,Chairs,East,Corporate,Atlanta,1,0.05,165.05,23.79
ORD-10193,2024-07-19,Office Supplies,Binders,South,Corporate,Dallas,2,0.1,122.81,18.77
ORD-10266,2024-07-19,Office Supplies,Art,South,Consumer,Chicago,8,0.3,288.0,10.97
ORD-10041,2024-07-20,Technology,Accessories,Central,Home Office,Atlanta,5,0.1,985.29,38.11
ORD-10186,2024-07-27,Office Supplies,Art,East,Home Office,Boston,4,0.05,39.22,4.22
ORD-10052,2024-07-28,Office Supplies,Art,West,Home Office,Los Angeles,5,0.3,463.86,15.78
ORD-10009,2024-07-28,Office Supplies,Art,East,Consumer,Los Angeles,7,0.05,683.18,175.75
ORD-10087,2024-08-02,Office Supplies,Paper,West,Consumer,New York,2,0.1,141.25,8.98
ORD-10300,2024-08-03,Technology,Computers,South,Home Office,Chicago,4,0.0,921.83,140.94
ORD-10496,2024-08-03,Furniture,Tables,East,Consumer,Boston,2,0.1,251.82,47.52
ORD-10446,2024-08-03,Office Supplies,Binders,West,Home Office,Chicago,2,0.1,89.97,8.57
ORD-10275,2024-08-04,Furniture,Bookcases,West,Home Office,Seattle,3,0.15,545.17,30.83
ORD-10429,2024-08-05,Furniture,Bookcases,East,Corporate,Seattle,3,0.2,396.28,53.28
ORD-10006,2024-08-05,Technology,Phones,East,Home Office,Houston,4,0.0,922.96,73.41
ORD-10109,2024-08-09,Technology,Computers,Central,Consumer,Dallas,5,0.0,1427.15,185.26
ORD-10334,2024-08-10,Technology,Accessories,Central,Home Office,Dallas,6,0.15,1148.59,210.69
ORD-10485,2024-08-11,Furniture,Bookcases,Central,Consumer,Boston,2,0.2,452.12,71.15
ORD-10470,2024-08-13,Office Supplies,Paper,South,Home Office,New York,9,0.15,885.82,65.52
ORD-10428,2024-08-13,Office Supplies,Storage,Central,Corporate,Boston,1,0.0,78.97,9.28
ORD-10414,2024-08-13,Furniture,Bookcases,South,Corporate,Dallas,1,0.2,107.55,9.79
ORD-10171,2024-08-13,Office Supplies,Binders,South,Home Office,Atlanta,7,0.1,607.57,37.26
ORD-10248,2024-08-14,Office Supplies,Storage,South,Corporate,New York,9,0.15,928.52,82.05
ORD-10130,2024-08-16,Furniture,Tables,Central,Corporate,Seattle,6,0.0,842.66,177.5
ORD-10283,2024-08-16,Furniture,Bookcases,South,Consumer,Los Angeles,4,0.2,503.66,64.11
ORD-10195,2024-08-22,Furniture,Chairs,Central,Corporate,Dallas,3,0.2,481.92,73.28
ORD-10190,2024-08-24,Technology,Phones,Central,Home Office,New York,9,0.0,1982.56,357.66
ORD-10129,2024-08-26,Technology,Phones,Central,Consumer,Atlanta,3,0.0,1213.5,174.88
ORD-10381,2024-08-26,Technology,Accessories,East,Consumer,Boston,7,0.1,1886.84,528.31
ORD-10423,2024-08-30,Technology,Accessories,Central,Home Office,Atlanta,5,0.2,384.63,34.89
ORD-10047,2024-08-31,Technology,Phones,East,Consumer,Los Angeles,2,0.05,318.38,64.39
ORD-10261,2024-08-31,Office Supplies,Storage,South,Consumer,Boston,3,0.0,266.34,19.31
ORD-10377,2024-09-01,Office Supplies,Art,West,Corporate,Los Angeles,1,0.15,117.44,20.53
ORD-10323,2024-09-06,Office Supplies,Binders,Central,Consumer,Chicago,1,0.15,81.61,7.22
ORD-10474,2024-09-07,Office Supplies,Storage,East,Home Office,New York,3,0.05,126.81,16.06
ORD-10368,2024-09-07,Office Supplies,Storage,Central,Corporate,Houston,1,0.2,87.76,2.04
ORD-10170,2024-09-12,Furniture,Tables,Central,Home Office,Atlanta,9,0.2,1766.02,261.4
ORD-10431,2024-09-15,Technology,Computers,South,Corporate,Houston,7,0.3,1327.72,52.21
ORD-10169,2024-09-17,Technology,Phones,East,Consumer,Dallas,3,0.1,963.11,140.75
ORD-10468,2024-09-17,Office Supplies,Paper,East,Corporate,Chicago,3,0.2,215.85,28.23
ORD-10495,2024-09-18,Furniture,Bookcases,West,Home Office,Chicago,3,0.2,340.79,28.66
ORD-10112,2024-09-20,Technology,Accessories,Central,Consumer,Chicago,4,0.15,570.55,75.69
ORD-10135,2024-09-20,Office Supplies,Paper,South,Home Office,New York,2,0.2,87.46,3.57
ORD-10383,2024-09-22,Office Supplies,Paper,Central,Consumer,Dallas,5,0.0,617.16,26.78
ORD-10455,2024-09-23,Technology,Phones,South,Consumer,New York,7,0.3,1714.14,4.16
ORD-10225,2024-09-24,Technology,Computers,East,Corporate,Boston,8,0.1,1628.97,291.93
ORD-10312,2024-09-24,Technology,Computers,East,Consumer,Los Angeles,5,0.15,389.87,33.16
ORD-10379,2024-09-28,Office Supplies,Paper,Central,Home Office,Boston,4,0.3,211.0,25.18
ORD-10340,2024-09-29,Technology,Computers,West,Home Office,Seattle,9,0.2,1550.96,385.39
ORD-10370,2024-09-30,Technology,Accessories,East,Corporate,Seattle,8,0.1,1386.99,110.46
ORD-10290,2024-10-01,Furniture,Chairs,West,Consumer,Seattle,9,0.2,1275.61,50.36
ORD-10194,2024-10-04,Office Supplies,Storage,Central,Home Office,Boston,6,0.0,708.92,71.89
ORD-10176,2024-10-06,Technology,Phones,West,Corporate,Atlanta,2,0.15,224.25,22.06
ORD-10191,2024-10-07,Technology,Computers,West,Consumer,New York,4,0.2,633.01,54.11
ORD-10157,2024-10-11,Office Supplies,Binders,West,Consumer,Chicago,2,0.05,107.77,11.66
ORD-10067,2024-10-11,Technology,Computers,Central,Corporate,Seattle,5,0.0,2251.79,-103.38
ORD-10093,2024-10-11,Office Supplies,Paper,Central,Corporate,New York,5,0.15,371.49,60.78
ORD-10097,2024-10-12,Furniture,Tables,South,Corporate,Atlanta,2,0.15,279.67,49.41
ORD-10220,2024-10-13,Office Supplies,Art,South,Home Office,Dallas,1,0.1,103.95,21.22
ORD-10140,2024-10-14,Office Supplies,Art,South,Consumer,Atlanta,8,0.0,1035.04,306.61
ORD-10318,2024-10-14,Technology,Phones,South,Consumer,Seattle,5,0.15,988.69,192.08
ORD-10494,2024-10-15,Technology,Phones,South,Home Office,Los Angeles,4,0.05,782.61,96.42
ORD-10257,2024-10-15,Office Supplies,Binders,East,Consumer,Boston,6,0.15,266.88,25.66
ORD-10238,2024-10-18,Technology,Computers,West,Consumer,Boston,6,0.1,1838.15,112.42
ORD-10396,2024-10-19,Office Supplies,Art,East,Home Office,Houston,7,0.2,653.14,107.24
ORD-10272,2024-10-22,Office Supplies,Art,West,Consumer,Boston,3,0.0,370.71,99.23
ORD-10024,2024-10-22,Furniture,Tables,Central,Corporate,Seattle,4,0.1,412.54,101.09
ORD-10242,2024-10-22,Office Supplies,Storage,West,Consumer,Chicago,5,0.1,461.17,73.15
ORD-10025,2024-10-23,Furniture,Bookcases,Central,Consumer,Seattle,5,0.1,1234.5,146.8
ORD-10484,2024-10-27,Office Supplies,Paper,Central,Home Office,Boston,7,0.0,608.81,186.97
ORD-10410,2024-10-28,Technology,Phones,West,Consumer,Los Angeles,8,0.3,1241.94,75.29
ORD-10003,2024-10-28,Office Supplies,Binders,Central,Consumer,Seattle,1,0.2,50.96,1.24
ORD-10094,2024-10-31,Furniture,Chairs,West,Consumer,New York,2,0.2,383.57,40.09
ORD-10039,2024-11-04,Office Supplies,Binders,East,Consumer,Dallas,2,0.05,149.41,23.9
ORD-10249,2024-11-05,Office Supplies,Binders,West,Consumer,Houston,3,0.0,30.0,1.7
ORD-10422,2024-11-05,Office Supplies,Storage,Central,Consumer,Boston,2,0.1,134.4,6.55
ORD-10364,2024-11-06,Furniture,Chairs,South,Consumer,Atlanta,8,0.1,1133.64,176.39
ORD-10256,2024-11-07,Furniture,Chairs,East,Corporate,Seattle,8,0.2,410.71,15.29
ORD-10043,2024-11-08,Technology,Phones,South,Corporate,Seattle,2,0.15,362.86,83.04
ORD-10125,2024-11-08,Technology,Accessories,East,Home Office,Houston,3,0.3,374.8,28.97
ORD-10479,2024-11-11,Office Supplies,Art,South,Corporate,Chicago,9,0.15,865.65,154.08
ORD-10298,2024-11-13,Technology,Computers,South,Consumer,Dallas,9,0.2,2344.24,161.61
ORD-10486,2024-11-13,Office Supplies,Storage,West,Home Office,Seattle,8,0.0,809.33,77.09
ORD-10090,2024-11-13,Furniture,Tables,West,Consumer,New York,2,0.15,168.9,21.53
ORD-10376,2024-11-13,Technology,Computers,South,Consumer,Chicago,1,0.2,260.23,-2.02
ORD-10409,2024-11-14,Office Supplies,Paper,South,Corporate,Atlanta,5,0.15,178.42,7.26
ORD-10457,2024-11-18,Technology,Phones,Central,Consumer,Boston,5,0.15,1323.5,-26.53
ORD-10490,2024-11-18,Office Supplies,Art,South,Consumer,Seattle,5,0.2,199.28,16.8
ORD-10015,2024-11-19,Technology,Computers,West,Corporate,Atlanta,9,0.2,1440.48,271.62
ORD-10394,2024-11-19,Office Supplies,Binders,South,Corporate,Dallas,5,0.0,469.53,60.55
ORD-10085,2024-11-22,Technology,Accessories,West,Consumer,Los Angeles,1,0.05,204.89,26.78
ORD-10473,2024-11-23,Technology,Accessories,East,Consumer,Seattle,2,0.1,421.78,50.8
ORD-10127,2024-11-23,Office Supplies,Paper,East,Consumer,Dallas,1,0.3,32.76,2.33
ORD-10451,2024-11-24,Office Supplies,Storage,East,Consumer,New York,1,0.0,122.47,27.06
ORD-10294,2024-11-25,Furniture,Tables,Central,Corporate,Seattle,9,0.1,2023.81,149.5
ORD-10149,2024-11-25,Technology,Computers,South,Corporate,Houston,8,0.1,1482.84,118.9
ORD-10426,2024-11-25,Furniture,Chairs,East,Corporate,Boston,4,0.1,632.6,80.94
ORD-10462,2024-11-27,Office Supplies,Art,South,Consumer,Chicago,9,0.1,888.12,198.32
ORD-10325,2024-11-30,Office Supplies,Storage,Central,Corporate,Atlanta,8,0.15,573.44,47.41
ORD-10498,2024-12-01,Technology,Computers,East,Consumer,Chicago,1,0.1,351.6,43.63
ORD-10301,2024-12-04,Technology,Accessories,Central,Corporate,Dallas,8,0.1,2257.38,193.92
ORD-10385,2024-12-05,Office Supplies,Storage,East,Corporate,Los Angeles,6,0.1,762.83,54.53
ORD-10079,2024-12-07,Furniture,Chairs,West,Corporate,Seattle,1,0.3,91.51,23.18
ORD-10218,2024-12-07,Office Supplies,Paper,South,Consumer,Atlanta,5,0.2,427.27,30.83
ORD-10402,2024-12-09,Office Supplies,Storage,South,Corporate,Atlanta,8,0.3,407.33,33.5
ORD-10411,2024-12-09,Technology,Computers,East,Home Office,Boston,9,0.15,3068.26,316.34
ORD-10030,2024-12-11,Technology,Computers,East,Consumer,Los Angeles,7,0.15,2685.14,266.95
ORD-10002,2024-12-11,Office Supplies,Storage,Central,Consumer,Houston,4,0.1,202.9,30.71
ORD-10055,2024-12-12,Furniture,Chairs,South,Corporate,Atlanta,5,0.05,1241.45,220.0
ORD-10123,2024-12-14,Technology,Accessories,East,Consumer,Seattle,9,0.1,2592.82,720.79
ORD-10487,2024-12-14,Technology,Accessories,Central,Home Office,Boston,5,0.15,1139.35,49.36
ORD-10355,2024-12-14,Technology,Phones,South,Home Office,Seattle,8,0.15,1223.42,63.85
ORD-10208,2024-12-21,Office Supplies,Paper,West,Consumer,Dallas,3,0.05,357.77,53.59
ORD-10014,2024-12-21,Technology,Phones,Central,Home Office,Boston,8,0.05,2057.16,286.86
ORD-10453,2024-12-22,Furniture,Tables,West,Consumer,Boston,3,0.15,54.62,4.3
ORD-10192,2024-12-24,Office Supplies,Paper,West,Consumer,Los Angeles,6,0.15,561.41,1.86
ORD-10384,2024-12-24,Office Supplies,Art,Central,Consumer,Seattle,1,0.15,16.44,2.12
ORD-10083,2024-12-25,Furniture,Tables,East,Corporate,Los Angeles,7,0.15,566.65,122.08
ORD-10075,2024-12-26,Office Supplies,Storage,South,Home Office,Los Angeles,7,0.0,766.61,103.96
ORD-10235,2024-12-28,Technology,Accessories,West,Home Office,Houston,3,0.15,472.71,51.95
ORD-10004,2024-12-28,Furniture,Chairs,South,Corporate,Houston,5,0.1,643.29,-19.21
ORD-10175,2024-12-29,Office Supplies,Binders,South,Corporate,Atlanta,5,0.1,418.0,89.26
ORD-10350,2024-12-29,Office Supplies,Storage,Central,Home Office,New York,8,0.2,116.08,2.14
ORD-10264,2024-12-30,Furniture,Tables,West,Consumer,Houston,1,0.0,193.2,54.65
ORD-10425,2024-12-31,Technology,Phones,West,Home Office,Houston,8,0.05,2014.5,267.55
ORD-10036,2025-01-05,Office Supplies,Binders,West,Home Office,Dallas,4,0.1,319.43,4.58
